Symbol
AAF.L
AAL.L
ABF.L
ABN.AS
AC.PA
ACA.PA
AD.AS
ADM.L
ADS.DE
ADYEN.AS
AGN.AS
AI.PA
AIR.PA
AKZA.AS
ALV.DE
ALW.L
ANTO.L
ASM.AS
ASML.AS
ASRNL.AS
AUTO.L
AV.L
AZN.L
BA.L
BAB.L
BARC.L
BAS.DE
BATS.L
BAYN.DE
BBOX.L
BEI.DE
BESI.AS
BEZ.L
BGEO.L
BKG.L
BLND.L
BMW.DE
BN.PA
BNP.PA
BNR.DE
BNZL.L
BP.L
BRBY.L
BT.A.L
BTRW.L
BVI.PA
CA.PA
CAP.PA
CBK.DE
CCEP.L
CCH.L
CNA.L
CON.DE
CPG.L
CRDA.L
CS.PA
CTEC.L
DB1.DE
DBK.DE
DCC.L
DG.PA
DGE.L
DHL.DE
DPLM.L
DSFIR.AS
DSY.PA
DTE.DE
DTG.DE
EDEN.PA
EDV.L
EL.PA
EN.PA
ENGI.PA
ENR.DE
ENT.L
EOAN.DE
ERF.PA
EXO.AS
EXPN.L
FCIT.L
FME.DE
FRE.DE
FRES.L
G1A.DE
G24.DE
GAW.L
GLE.PA
GLEN.L
GSK.L
HEI.DE
HEIA.AS
HEN3.DE
HLMA.L
HLN.L
HNR1.DE
HO.PA
HSBA.L
HSX.L
HWDN.L
IAG.L
ICG.L
IFX.DE
IGG.L
IHG.L
III.L
IMB.L
IMCD.AS
IMI.L
INF.L
INGA.AS
ITRK.L
JD.L
KER.PA
KGF.L
KPN.AS
LAND.L
LGEN.L
LLOY.L
LMP.L
LR.PA
LSEG.L
MBG.DE
MC.PA
MKS.L
ML.PA
MNDI.L
MNG.L
MRK.DE
MRO.L
MT.AS
MTLN.L
MTX.DE
MUV2.DE
NG.L
NN.AS
NWG.L
NXT.L
OR.PA
ORA.PA
PAH3.DE
PCT.L
PHIA.AS
PRU.L
PRX.AS
PSH.L
PSN.L
PSON.L
PUB.PA
QIA.DE
RAND.AS
REL.L
REN.AS
RHM.DE
RI.PA
RIO.L
RKT.L
RMS.PA
RMV.L
RNO.PA
RR.L
RTO.L
RWE.DE
SAF.PA
SAN.PA
SAP.DE
SBRY.L
SDLF.L
SDR.L
SGE.L
SGO.PA
SGRO.L
SHEL.L
SHELL.AS
SHL.DE
SIE.DE
SMIN.L
SMT.L
SN.L
SPX.L
SSE.L
STAN.L
STJ.L
STLAP.PA
STMPA.PA
SU.PA
SVT.L
SY1.DE
TEP.PA
TSCO.L
TTE.PA
ULVR.L
UMG.AS
UNA.AS
URW.PA
UU.L
VIE.PA
VNA.DE
VOD.L
VOW3.DE
WEIR.L
WKL.AS
WTB.L
ZAL.DE
